Method,Train MSE,Train MAE,Train R2,Test MSE,Test MAE,Test R2
GLM: Linear,1368.676933974085,24.963552006650687,0.4444345693004806,1270.1737319809836,23.98527059039346,0.4472251963776077
GLM: Poisson,1354.0055260771865,21.725906381791432,0.4503899023998278,1228.8979641299784,20.641332191765716,0.4651882544174069
GLM: Tweedie,1383.3742519187124,21.755166550419556,0.4384687189443078,1254.3043577608903,20.661129717066284,0.4541314880109901
GLM Stack,975.4276786655583,19.010627762250003,0.6040600342108753,927.2137494701934,18.19945444079617,0.5964800834921993
XGB: Squared Error,134.92591443477409,7.227395550741548,0.9452316526239484,254.0989966049732,9.475434052830796,0.8894170778276936
XGB: Pseudo Huber,335.57761546386627,9.99864995516641,0.8637842738191198,360.98748104997856,11.273642094229253,0.8428996137116371
XGB: Poisson,181.60194483887832,7.957972634098993,0.9262851881288502,250.0342806224089,8.957772779234517,0.8911860268481859
XGB: Tweedie,139.16721331734612,6.958360389984449,0.9435100490943414,231.10968809082345,8.647558080166432,0.8994219379341173
LGBM: Squared Error,184.2642544045443,8.293436214661295,0.9252045188169112,260.7452070298491,9.534895094141769,0.8865246721906207
LGBM: Absolute Error,302.75278640064806,9.071151660663586,0.8771083387196614,321.2060382504668,9.756067863278448,0.8602123471414329
LGBM: Huber,744.7689854421087,12.4854937983124,0.6976876778602716,702.7357690003353,12.204085192509682,0.6941720514864128
LGBM: Quantile,852.408779929592,18.726087854779315,0.6539951545916808,815.393329161349,18.671447313497172,0.6451439074407489
LGBM: Poisson,223.91311936629933,8.77634217906857,0.9091104807043044,264.6626658937733,9.215300491853936,0.8848198089111485
LGBM: Tweedie,182.309406872544,8.034576172571647,0.925998019228958,245.7144372227561,8.938904785652364,0.8930660063555549
RF: Squared Error,497.5135874899806,12.53039469791654,0.7980521599716186,487.92269940548204,12.263826617663552,0.7876578868261379
RF: Poisson,566.5520694205804,13.081269835406317,0.7700284583978322,549.014317821897,12.683613041950274,0.7610710455753431
XT: Squared Error,567.1411127001992,13.910834369039804,0.7697893573541754,559.7251491090939,13.69962622645659,0.7564097323137479
XT: Poisson,576.0964336120344,13.946344056762179,0.7661542652473845,566.7061013999645,13.75421626709828,0.7533716482827824
